text,category,department,category_code,org_code,urgency,urgency_score
"toll charged despite pass, request refund i have complained repeatedly and it is still unresolved",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,14
request for status of my vehicle registration i have complained repeatedly and it is still unresolved,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,14
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
"online order not delivered, money not refunded",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,8
request for status of my police clearance certificate senior citizen with no other support,Home Affairs,Home Affairs,4742,MINHA,Low,19
"family pension denied after my husband's death, i am a widow please help immediately",Pension,Pension,6281,DEAPR,High,56
wrongly charged extra amount on my mobile bill this month,Telecommunications,Telecommunications,1,DOTEL,Low,11
request for information about filing revised return there is a medical emergency,Income Tax,Income Tax,4414,CBODT,Low,19
"speed post delivery delayed by 17 days, urgent documents inside",Posts,Posts,61,DPOST,Medium,27
"domestic violence case, need urgent help, unsafe at home",Women and Child Development,Women and Child Development,5410,DOWCD,Medium,29
"call drops happening continuously, unable to make emergency calls",Telecommunications,Telecommunications,1,DOTEL,Low,23
request for information about filing a consumer complaint situation is unsafe and dangerous,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,19
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"sewage and no water for 15 days, children falling sick, health emergency, unsafe, no response repeatedly",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,60
suggestion to open more counters at the local post office senior citizen with no other support,Posts,Posts,61,DPOST,Medium,27
scholarship amount not received by my child for 6 months no response despite repeated complaints,School Education,School Education,398,DOSEL,High,58
wrongly charged extra amount on my mobile bill this month please help immediately,Telecommunications,Telecommunications,1,DOTEL,Low,24
request for information about filing a consumer complaint,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,7
"driving licence renewal pending for 2 months, no response situation is unsafe and dangerous",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,43
request for update on my esi claim,Labour and Employment,Labour and Employment,2173,MOLBR,Low,5
"call drops happening continuously, unable to make emergency calls",Telecommunications,Telecommunications,1,DOTEL,Low,18
my registered parcel has been stuck in transit for 4 days senior citizen with no other support,Posts,Posts,61,DPOST,Medium,25
"fir not registered despite repeated visits, harassment senior citizen with no other support",Home Affairs,Home Affairs,4742,MINHA,High,49
"my father's pension has been stopped since 9 months, he is a senior citizen",Pension,Pension,6281,DEAPR,High,57
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
requesting information about porting my number to another operator there is a medical emergency,Telecommunications,Telecommunications,1,DOTEL,Low,19
"my father's pension has been stopped since 4 months, he is a senior citizen",Pension,Pension,6281,DEAPR,High,49
"school building unsafe, roof leaking, children at risk",School Education,School Education,398,DOSEL,Medium,32
"threat to my family, urgent protection needed please help immediately",Home Affairs,Home Affairs,4742,MINHA,High,50
"sewage overflow on the road for 4 days, health hazard my elderly parent is suffering",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,24
"harassment at workplace, no action taken despite complaints",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,29
"driving licence renewal pending for 7 months, no response this is urgent",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,39
"false advertisement, product not as described, fraud",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,28
request for status of my police clearance certificate,Home Affairs,Home Affairs,4742,MINHA,Low,2
my landline has been dead for 14 days and no technician has come senior citizen with no other support,Telecommunications,Telecommunications,1,DOTEL,Medium,29
"hospital demanded bribe for admitting my child, this is corruption",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,63
my registered parcel has been stuck in transit for 14 days,Posts,Posts,61,DPOST,Low,15
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
scholarship amount not received by my child for 4 months please help immediately,School Education,School Education,398,DOSEL,High,61
requesting information about porting my number to another operator my elderly parent is suffering,Telecommunications,Telecommunications,1,DOTEL,Low,21
"sewage overflow on the road for 15 days, health hazard",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,12
"amount debited from my account but transaction failed, 7 months no refund my elderly parent is suffering",Banking,Banking,251,DEABD,Medium,31
request for status update on my pension revision application situation is unsafe and dangerous,Pension,Pension,6281,DEAPR,Low,24
scholarship amount not received by my child for 5 months this is urgent,School Education,School Education,398,DOSEL,High,61
"threat to my family, urgent protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,37
"no water supply in our locality for 2 days, children falling sick",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,29
request to update my kyc details in the account please help immediately,Banking,Banking,251,DEABD,Low,10
"reserved seat given to someone else, harassment by staff there is a medical emergency",Railway,Railway,2565,MORLY,High,54
"money order not delivered to my elderly mother, she is waiting there is a medical emergency",Posts,Posts,61,DPOST,Medium,44
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
"child harassment reported at centre, immediate action needed please help immediately",Women and Child Development,Women and Child Development,5410,DOWCD,High,53
my monthly income scheme interest not credited since 5 months i have complained repeatedly and it is still unresolved,Posts,Posts,61,DPOST,Medium,27
"threat to my family, urgent protection needed please help immediately",Home Affairs,Home Affairs,4742,MINHA,High,45
request for status update on my pension revision application my elderly parent is suffering,Pension,Pension,6281,DEAPR,Low,18
income tax refund pending for 2 months despite filing,Income Tax,Income Tax,4414,CBODT,Low,19
mgnrega wages not paid for 3 months to labourers in our village,Rural Development,Rural Development,4976,DORLD,Low,20
wrongly charged extra amount on my mobile bill this month,Telecommunications,Telecommunications,1,DOTEL,Low,11
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"speed post delivery delayed by 16 days, urgent documents inside",Posts,Posts,61,DPOST,Low,24
request for status update on my pension revision application no response despite repeated complaints,Pension,Pension,6281,DEAPR,Low,12
"job card application pending, repeatedly visiting the office i have complained repeatedly and it is still unresolved",Rural Development,Rural Development,4976,DORLD,Medium,29
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
"school building unsafe, roof leaking, children at risk i have complained repeatedly and it is still unresolved",School Education,School Education,398,DOSEL,Medium,44
